Date,Page views,Site sessions,Unique visitors,Bounce rate,Avg. session duration
2025-03-06,72,35,34,0.69,287.0
2025-03-05,61,23,22,0.43,275.0
2025-03-04,88,35,34,0.51,139.0
2025-03-03,189,73,66,0.63,129.0
2025-03-02,61,23,21,0.43,241.0
2025-03-01,73,18,18,0.39,202.0
2025-02-28,33,20,19,0.7,427.0
2025-02-27,42,21,19,0.62,94.0
2025-02-26,59,29,25,0.66,101.0
2025-02-25,64,29,28,0.59,170.0
2025-02-24,37,17,16,0.53,
2025-02-23,85,29,26,0.59,130.0
2025-02-22,66,22,18,0.45,108.0
2025-02-21,44,21,17,0.38,
2025-02-20,90,34,24,0.41,93.0
2025-02-19,75,29,26,0.52,256.0
2025-02-18,50,26,20,0.65,213.0
2025-02-17,58,17,15,0.53,117.0
2025-02-16,30,15,14,0.6,90.0
2025-02-15,74,21,21,0.57,367.0
2025-02-14,23,15,15,0.73,93.0
2025-02-13,33,19,16,0.68,146.0
2025-02-12,62,26,25,0.69,171.0
2025-02-11,79,37,32,0.59,184.0
2025-02-10,59,33,32,0.67,
2025-02-09,51,25,20,0.64,189.0
2025-02-08,67,21,20,0.52,92.0
2025-02-07,52,15,15,0.6,740.0
2025-02-06,466,22,21,0.41,290.0
2025-02-05,28,18,18,0.67,176.0
