"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"3/6/2025","72","35","34","69%","4m, 47s"
"3/5/2025","61","23","22","43%","4m, 35s"
"3/4/2025","88","35","34","51%","2m, 19s"
"3/3/2025","189","73","66","63%","2m, 9s"
"3/2/2025","61","23","21","43%","4m, 1s"
"3/1/2025","73","18","18","39%","3m, 22s"
"2/28/2025","33","20","19","70%","7m, 7s"
"2/27/2025","42","21","19","62%","1m, 34s"
"2/26/2025","59","29","25","66%","1m, 41s"
"2/25/2025","64","29","28","59%","2m, 50s"
"2/24/2025","37","17","16","53%","55s, 600ms"
"2/23/2025","85","29","26","59%","2m, 10s"
"2/22/2025","66","22","18","45%","1m, 48s"
"2/21/2025","44","21","17","38%","14m, 71ms"
"2/20/2025","90","34","24","41%","1m, 33s"
"2/19/2025","75","29","26","52%","4m, 16s"
"2/18/2025","50","26","20","65%","3m, 33s"
"2/17/2025","58","17","15","53%","1m, 57s"
"2/16/2025","30","15","14","60%","1m, 30s"
"2/15/2025","74","21","21","57%","6m, 7s"
"2/14/2025","23","15","15","73%","1m, 33s"
"2/13/2025","33","19","16","68%","2m, 26s"
"2/12/2025","62","26","25","69%","2m, 51s"
"2/11/2025","79","37","32","59%","3m, 4s"
"2/10/2025","59","33","32","67%","47s, 667ms"
"2/9/2025","51","25","20","64%","3m, 9s"
"2/8/2025","67","21","20","52%","1m, 32s"
"2/7/2025","52","15","15","60%","12m, 20s"
"2/6/2025","466","22","21","41%","4m, 50s"
"2/5/2025","28","18","18","67%","2m, 56s"
